,Date,State, Average Temperature,Anomaly
120,201001,Alabama,40.0,-4.9
121,201002,Alabama,40.6,-9.2
122,201003,Alabama,51.2,-5.0
123,201004,Alabama,64.2,0.3
124,201005,Alabama,73.3,1.7
125,201006,Alabama,80.9,2.3
126,201007,Alabama,82.6,1.9
127,201008,Alabama,83.0,3.0
128,201009,Alabama,76.9,1.0
129,201010,Alabama,64.3,-0.9
130,201011,Alabama,55.2,1.7
131,201012,Alabama,40.3,-9.0
132,201101,Alabama,41.1,-3.8
133,201102,Alabama,49.5,-0.3
134,201103,Alabama,57.8,1.6
135,201104,Alabama,65.7,1.8
136,201105,Alabama,69.9,-1.7
137,201106,Alabama,81.2,2.6
138,201107,Alabama,81.7,1.0
139,201108,Alabama,81.8,1.8
140,201109,Alabama,72.1,-3.8
141,201110,Alabama,60.6,-4.6
142,201111,Alabama,55.3,1.8
143,201112,Alabama,49.3,0.0
144,201201,Alabama,50.1,5.2
145,201202,Alabama,52.1,2.3
146,201203,Alabama,64.6,8.4
147,201204,Alabama,65.0,1.1
148,201205,Alabama,73.4,1.8
149,201206,Alabama,76.8,-1.8
150,201207,Alabama,81.6,0.9
151,201208,Alabama,78.1,-1.9
152,201209,Alabama,73.0,-2.9
153,201210,Alabama,62.2,-3.0
154,201211,Alabama,51.2,-2.3
155,201212,Alabama,50.9,1.6
156,201301,Alabama,50.0,5.1
157,201302,Alabama,48.0,-1.8
158,201303,Alabama,49.8,-6.4
159,201304,Alabama,62.2,-1.7
160,201305,Alabama,68.2,-3.4
161,201306,Alabama,78.0,-0.6
162,201307,Alabama,77.7,-3.0
163,201308,Alabama,77.9,-2.1
164,201309,Alabama,75.0,-0.9
165,201310,Alabama,64.9,-0.3
166,201311,Alabama,51.6,-1.9
167,201312,Alabama,47.9,-1.4
168,201401,Alabama,37.3,-7.6
169,201402,Alabama,47.3,-2.5
170,201403,Alabama,52.3,-3.9
171,201404,Alabama,62.4,-1.5
172,201405,Alabama,70.2,-1.4
173,201406,Alabama,77.9,-0.7
174,201407,Alabama,77.8,-2.9
175,201408,Alabama,79.5,-0.5
176,201409,Alabama,76.3,0.4
177,201410,Alabama,65.2,0.0
178,201411,Alabama,48.2,-5.3
179,201412,Alabama,50.0,0.7
180,201501,Alabama,43.6,-1.3
181,201502,Alabama,41.3,-8.5
182,201503,Alabama,57.8,1.6
183,201504,Alabama,66.0,2.1
184,201505,Alabama,71.8,0.2
185,201506,Alabama,78.8,0.2
186,201507,Alabama,81.6,0.9
187,201508,Alabama,79.0,-1.0
188,201509,Alabama,74.4,-1.5
189,201510,Alabama,65.0,-0.2
190,201511,Alabama,59.2,5.7
191,201512,Alabama,56.9,7.6
192,201601,Alabama,43.0,-1.9
193,201602,Alabama,49.8,0.0
194,201603,Alabama,59.7,3.5
195,201604,Alabama,63.6,-0.3
196,201605,Alabama,70.2,-1.4
197,201606,Alabama,79.2,0.6
198,201607,Alabama,82.0,1.3
199,201608,Alabama,81.6,1.6
200,201609,Alabama,78.6,2.7
201,201610,Alabama,68.5,3.3
202,201611,Alabama,57.8,4.3
203,201612,Alabama,50.1,0.8
204,201701,Alabama,52.4,7.5
205,201702,Alabama,55.6,5.8
206,201703,Alabama,58.4,2.2
207,201704,Alabama,67.2,3.3
208,201705,Alabama,69.9,-1.7
209,201706,Alabama,75.8,-2.8
210,201707,Alabama,80.6,-0.1
211,201708,Alabama,78.8,-1.2
212,201709,Alabama,73.4,-2.5
213,201710,Alabama,65.8,0.6
214,201711,Alabama,55.6,2.1
215,201712,Alabama,46.9,-2.4
216,201801,Alabama,40.4,-4.5
217,201802,Alabama,58.0,8.2
218,201803,Alabama,55.4,-0.8
219,201804,Alabama,59.5,-4.4
220,201805,Alabama,74.4,2.8
221,201806,Alabama,79.3,0.7
222,201807,Alabama,80.7,0.0
223,201808,Alabama,79.5,-0.5
224,201809,Alabama,79.4,3.5
225,201810,Alabama,67.4,2.2
226,201811,Alabama,50.4,-3.1
227,201812,Alabama,49.0,-0.3
228,201901,Alabama,46.5,1.6
229,201902,Alabama,56.1,6.3
230,201903,Alabama,55.0,-1.2
231,201904,Alabama,63.5,-0.4
232,201905,Alabama,74.2,2.6
233,201906,Alabama,78.1,-0.5
234,201907,Alabama,80.6,-0.1
235,201908,Alabama,80.6,0.6
236,201909,Alabama,80.2,4.3
237,201910,Alabama,67.8,2.6
238,201911,Alabama,50.6,-2.9
239,201912,Alabama,51.3,2.0
361,201001,Alaska,1.5,-4.0
362,201002,Alaska,10.8,0.1
363,201003,Alaska,9.8,-3.7
364,201004,Alaska,26.9,0.1
365,201005,Alaska,41.3,0.5
366,201006,Alaska,49.5,-1.6
367,201007,Alaska,52.1,-2.3
368,201008,Alaska,51.5,0.7
369,201009,Alaska,42.8,0.8
370,201010,Alaska,27.6,-2.2
371,201011,Alaska,17.7,3.1
372,201012,Alaska,-2.4,-10.2
373,201101,Alaska,7.0,1.5
374,201102,Alaska,6.0,-4.7
375,201103,Alaska,11.9,-1.6
376,201104,Alaska,23.2,-3.6
377,201105,Alaska,40.5,-0.3
378,201106,Alaska,49.8,-1.3
379,201107,Alaska,52.1,-2.3
380,201108,Alaska,49.0,-1.8
381,201109,Alaska,42.4,0.4
382,201110,Alaska,28.5,-1.3
383,201111,Alaska,3.6,-11.0
384,201112,Alaska,9.4,1.6
385,201201,Alaska,-12.8,-18.3
386,201202,Alaska,12.1,1.4
387,201203,Alaska,4.3,-9.2
388,201204,Alaska,27.3,0.5
389,201205,Alaska,37.2,-3.6
390,201206,Alaska,50.4,-0.7
391,201207,Alaska,52.0,-2.4
392,201208,Alaska,49.9,-0.9
393,201209,Alaska,40.6,-1.4
394,201210,Alaska,25.5,-4.3
395,201211,Alaska,6.0,-8.6
396,201212,Alaska,-0.8,-8.6
397,201301,Alaska,9.8,4.3
398,201302,Alaska,6.3,-4.4
399,201303,Alaska,11.0,-2.5
400,201304,Alaska,16.7,-10.1
401,201305,Alaska,35.2,-5.6
402,201306,Alaska,53.9,2.8
403,201307,Alaska,55.0,0.6
404,201308,Alaska,51.4,0.6
405,201309,Alaska,39.6,-2.4
406,201310,Alaska,34.0,4.2
407,201311,Alaska,13.7,-0.9
408,201312,Alaska,7.0,-0.8
409,201401,Alaska,18.4,12.9
410,201402,Alaska,6.7,-4.0
411,201403,Alaska,14.1,0.6
412,201404,Alaska,27.4,0.6
413,201405,Alaska,41.9,1.1
414,201406,Alaska,48.1,-3.0
415,201407,Alaska,52.7,-1.7
416,201408,Alaska,52.0,1.2
417,201409,Alaska,42.3,0.3
418,201410,Alaska,25.8,-4.0
419,201411,Alaska,19.6,5.0
420,201412,Alaska,15.0,7.2
421,201501,Alaska,7.1,1.6
422,201502,Alaska,12.6,1.9
423,201503,Alaska,15.9,2.4
424,201504,Alaska,28.2,1.4
425,201505,Alaska,44.8,4.0
426,201506,Alaska,52.3,1.2
427,201507,Alaska,54.2,-0.2
428,201508,Alaska,49.3,-1.5
429,201509,Alaska,38.9,-3.1
430,201510,Alaska,31.6,1.8
431,201511,Alaska,17.2,2.6
432,201512,Alaska,8.3,0.5
433,201601,Alaska,17.2,11.7
434,201602,Alaska,17.3,6.6
435,201603,Alaska,18.7,5.2
436,201604,Alaska,33.3,6.5
437,201605,Alaska,44.0,3.2
438,201606,Alaska,51.8,0.7
