,Date,State,Natural Gas Consumption (MMcf), Average Temperature,Anomaly
0,2010-01,Alabama,9202.647,40.0,-4.9
1,2010-02,Alabama,7762.260999999998,40.6,-9.2
2,2010-03,Alabama,6612.051,51.2,-5.0
3,2010-04,Alabama,2987.217,64.2,0.3
4,2010-05,Alabama,1142.784,73.3,1.7
5,2010-06,Alabama,841.7339999999998,80.9,2.3
6,2010-07,Alabama,732.868,82.6,1.9
7,2010-08,Alabama,708.3760000000002,83.0,3.0
8,2010-09,Alabama,658.3989999999999,76.9,1.0
9,2010-10,Alabama,839.2589999999999,64.3,-0.9
10,2010-11,Alabama,2757.246,55.2,1.7
11,2010-12,Alabama,7970.435,40.3,-9.0
12,2011-01,Alabama,9951.178,41.1,-3.8
13,2011-02,Alabama,6315.45,49.5,-0.3
14,2011-03,Alabama,3512.703,57.8,1.6
15,2011-04,Alabama,1942.457,65.7,1.8
16,2011-05,Alabama,1362.7320000000002,69.9,-1.7
17,2011-06,Alabama,844.302,81.2,2.6
18,2011-07,Alabama,604.288,81.7,1.0
19,2011-08,Alabama,772.312,81.8,1.8
20,2011-09,Alabama,852.437,72.1,-3.8
21,2011-10,Alabama,1530.917,60.6,-4.6
22,2011-11,Alabama,3425.778,55.3,1.8
23,2011-12,Alabama,5467.343000000002,49.3,0.0
24,2012-01,Alabama,5895.866,50.1,5.2
25,2012-02,Alabama,4489.395,52.1,2.3
26,2012-03,Alabama,2206.802,64.6,8.4
27,2012-04,Alabama,1328.2779999999998,65.0,1.1
28,2012-05,Alabama,892.784,73.4,1.8
29,2012-06,Alabama,722.5269999999998,76.8,-1.8
30,2012-07,Alabama,702.7410000000001,81.6,0.9
31,2012-08,Alabama,700.466,78.1,-1.9
32,2012-09,Alabama,722.184,73.0,-2.9
33,2012-10,Alabama,1334.183,62.2,-3.0
34,2012-11,Alabama,3735.169,51.2,-2.3
35,2012-12,Alabama,4849.185,50.9,1.6
36,2013-01,Alabama,6146.971,50.0,5.1
37,2013-02,Alabama,5657.316,48.0,-1.8
38,2013-03,Alabama,5205.379,49.8,-6.4
39,2013-04,Alabama,2198.371,62.2,-1.7
40,2013-05,Alabama,1324.94,68.2,-3.4
41,2013-06,Alabama,980.093,78.0,-0.6
42,2013-07,Alabama,715.4989999999998,77.7,-3.0
43,2013-08,Alabama,769.6569999999998,77.9,-2.1
44,2013-09,Alabama,777.929,75.0,-0.9
45,2013-10,Alabama,1142.14,64.9,-0.3
46,2013-11,Alabama,3924.831,51.6,-1.9
47,2013-12,Alabama,6215.698,47.9,-1.4
48,2014-01,Alabama,10349.728,37.3,-7.6
49,2014-02,Alabama,6521.616,47.3,-2.5
50,2014-03,Alabama,4611.372,52.3,-3.9
51,2014-04,Alabama,2191.862,62.4,-1.5
52,2014-05,Alabama,1345.313,70.2,-1.4
53,2014-06,Alabama,804.067,77.9,-0.7
54,2014-07,Alabama,764.0830000000002,77.8,-2.9
55,2014-08,Alabama,748.2339999999998,79.5,-0.5
56,2014-09,Alabama,715.748,76.3,0.4
57,2014-10,Alabama,1123.875,65.2,0.0
58,2014-11,Alabama,4456.959,48.2,-5.3
59,2014-12,Alabama,5373.153,50.0,0.7
60,2015-01,Alabama,8087.285,43.6,-1.3
