,Date,State,Natural Gas Consumption (MMcf)
0,Jan-2010,Alabama,9202.647
1,Feb-2010,Alabama,7762.260999999998
2,Mar-2010,Alabama,6612.051
3,Apr-2010,Alabama,2987.217
4,May-2010,Alabama,1142.784
5,Jun-2010,Alabama,841.7339999999998
6,Jul-2010,Alabama,732.868
7,Aug-2010,Alabama,708.3760000000002
8,Sep-2010,Alabama,658.3989999999999
9,Oct-2010,Alabama,839.2589999999999
10,Nov-2010,Alabama,2757.246
11,Dec-2010,Alabama,7970.435
12,Jan-2011,Alabama,9951.178
13,Feb-2011,Alabama,6315.45
14,Mar-2011,Alabama,3512.703
15,Apr-2011,Alabama,1942.457
16,May-2011,Alabama,1362.7320000000002
17,Jun-2011,Alabama,844.302
18,Jul-2011,Alabama,604.288
19,Aug-2011,Alabama,772.312
20,Sep-2011,Alabama,852.437
21,Oct-2011,Alabama,1530.917
22,Nov-2011,Alabama,3425.778
23,Dec-2011,Alabama,5467.343000000002
24,Jan-2012,Alabama,5895.866
25,Feb-2012,Alabama,4489.395
26,Mar-2012,Alabama,2206.802
27,Apr-2012,Alabama,1328.2779999999998
28,May-2012,Alabama,892.784
29,Jun-2012,Alabama,722.5269999999998
30,Jul-2012,Alabama,702.7410000000001
31,Aug-2012,Alabama,700.466
32,Sep-2012,Alabama,722.184
33,Oct-2012,Alabama,1334.183
34,Nov-2012,Alabama,3735.169
35,Dec-2012,Alabama,4849.185
36,Jan-2013,Alabama,6146.971
37,Feb-2013,Alabama,5657.316
38,Mar-2013,Alabama,5205.379
39,Apr-2013,Alabama,2198.371
40,May-2013,Alabama,1324.94
41,Jun-2013,Alabama,980.093
42,Jul-2013,Alabama,715.4989999999998
43,Aug-2013,Alabama,769.6569999999998
44,Sep-2013,Alabama,777.929
45,Oct-2013,Alabama,1142.14
46,Nov-2013,Alabama,3924.831
47,Dec-2013,Alabama,6215.698
48,Jan-2014,Alabama,10349.728
49,Feb-2014,Alabama,6521.616
50,Mar-2014,Alabama,4611.372
51,Apr-2014,Alabama,2191.862
52,May-2014,Alabama,1345.313
53,Jun-2014,Alabama,804.067
54,Jul-2014,Alabama,764.0830000000002
55,Aug-2014,Alabama,748.2339999999998
56,Sep-2014,Alabama,715.748
57,Oct-2014,Alabama,1123.875
58,Nov-2014,Alabama,4456.959
59,Dec-2014,Alabama,5373.153
60,Jan-2015,Alabama,8087.285
61,Feb-2015,Alabama,8552.312
62,Mar-2015,Alabama,3862.593
63,Apr-2015,Alabama,1696.628
