,Date,State, Average Temperature,Anomaly
0,Jan-00,Alabama,46.5,1.6
1,Feb-00,Alabama,52.3,2.5
2,Mar-00,Alabama,58.9,2.7
3,Apr-00,Alabama,60.1,-3.8
4,May-00,Alabama,74,2.4
5,Jun-00,Alabama,77.6,-1
6,Jul-00,Alabama,81.9,1.2
7,Aug-00,Alabama,81,1
8,Sep-00,Alabama,73.9,-2
9,Oct-00,Alabama,64.6,-0.6
10,Nov-00,Alabama,52.8,-0.7
11,Dec-00,Alabama,39.2,-10.1
12,Jan-01,Alabama,41.2,-3.7
13,Feb-01,Alabama,52.6,2.8
14,Mar-01,Alabama,51.4,-4.8
15,Apr-01,Alabama,64.7,0.8
16,May-01,Alabama,70.6,-1
17,Jun-01,Alabama,75.8,-2.8
18,Jul-01,Alabama,79.7,-1
19,Aug-01,Alabama,78.5,-1.5
20,Sep-01,Alabama,71.9,-4
21,Oct-01,Alabama,60.6,-4.6
22,Nov-01,Alabama,58.8,5.3
23,Dec-01,Alabama,50.6,1.3
24,Jan-02,Alabama,46.8,1.9
25,Feb-02,Alabama,46,-3.8
26,Mar-02,Alabama,55,-1.2
27,Apr-02,Alabama,66.4,2.5
28,May-02,Alabama,70.2,-1.4
29,Jun-02,Alabama,77.2,-1.4
30,Jul-02,Alabama,80.3,-0.4
31,Aug-02,Alabama,79.7,-0.3
32,Sep-02,Alabama,77.3,1.4
33,Oct-02,Alabama,67.8,2.6
34,Nov-02,Alabama,51,-2.5
35,Dec-02,Alabama,45.2,-4.1
36,Jan-03,Alabama,40,-4.9
37,Feb-03,Alabama,48,-1.8
38,Mar-03,Alabama,57.6,1.4
39,Apr-03,Alabama,63.3,-0.6
40,May-03,Alabama,71.6,0
41,Jun-03,Alabama,75.6,-3
42,Jul-03,Alabama,78.5,-2.2
43,Aug-03,Alabama,79.4,-0.6
44,Sep-03,Alabama,73.1,-2.8
45,Oct-03,Alabama,63.5,-1.7
46,Nov-03,Alabama,58.2,4.7
47,Dec-03,Alabama,44,-5.3
48,Jan-04,Alabama,44.2,-0.7
49,Feb-04,Alabama,45.4,-4.4
50,Mar-04,Alabama,59,2.8
51,Apr-04,Alabama,61.2,-2.7
52,May-04,Alabama,72.7,1.1
53,Jun-04,Alabama,76.8,-1.8
54,Jul-04,Alabama,79.2,-1.5
55,Aug-04,Alabama,76.3,-3.7
56,Sep-04,Alabama,73.8,-2.1
57,Oct-04,Alabama,68.5,3.3
58,Nov-04,Alabama,57.8,4.3
59,Dec-04,Alabama,45.1,-4.2
60,Jan-05,Alabama,49.2,4.3
61,Feb-05,Alabama,51.2,1.4
62,Mar-05,Alabama,53.5,-2.7
63,Apr-05,Alabama,61,-2.9
64,May-05,Alabama,68.3,-3.3
65,Jun-05,Alabama,76.7,-1.9
66,Jul-05,Alabama,80.4,-0.3
67,Aug-05,Alabama,80.5,0.5
68,Sep-05,Alabama,76.9,1
69,Oct-05,Alabama,63.8,-1.4
70,Nov-05,Alabama,55.8,2.3
71,Dec-05,Alabama,43.4,-5.9
72,Jan-06,Alabama,51.1,6.2
73,Feb-06,Alabama,46.1,-3.7
74,Mar-06,Alabama,56.1,-0.1
75,Apr-06,Alabama,67.5,3.6
76,May-06,Alabama,70.4,-1.2
