,Date,State,Natural Gas Consumption (MMcf)
0,Jan-10,Alabama,9202.647
1,Feb-10,Alabama,7762.261
2,Mar-10,Alabama,6612.051
3,Apr-10,Alabama,2987.217
4,May-10,Alabama,1142.784
5,Jun-10,Alabama,841.734
6,Jul-10,Alabama,732.868
7,Aug-10,Alabama,708.376
8,Sep-10,Alabama,658.399
9,Oct-10,Alabama,839.259
10,Nov-10,Alabama,2757.246
11,Dec-10,Alabama,7970.435
12,Jan-11,Alabama,9951.178
13,Feb-11,Alabama,6315.45
14,Mar-11,Alabama,3512.703
15,Apr-11,Alabama,1942.457
16,May-11,Alabama,1362.732
17,Jun-11,Alabama,844.302
18,Jul-11,Alabama,604.288
19,Aug-11,Alabama,772.312
20,Sep-11,Alabama,852.437
21,Oct-11,Alabama,1530.917
22,Nov-11,Alabama,3425.778
23,Dec-11,Alabama,5467.343
24,Jan-12,Alabama,5895.866
25,Feb-12,Alabama,4489.395
26,Mar-12,Alabama,2206.802
27,Apr-12,Alabama,1328.278
28,May-12,Alabama,892.784
29,Jun-12,Alabama,722.527
30,Jul-12,Alabama,702.741
31,Aug-12,Alabama,700.466
32,Sep-12,Alabama,722.184
33,Oct-12,Alabama,1334.183
34,Nov-12,Alabama,3735.169
35,Dec-12,Alabama,4849.185
36,Jan-13,Alabama,6146.971
37,Feb-13,Alabama,5657.316
38,Mar-13,Alabama,5205.379
39,Apr-13,Alabama,2198.371
40,May-13,Alabama,1324.94
41,Jun-13,Alabama,980.093
42,Jul-13,Alabama,715.499
43,Aug-13,Alabama,769.657
44,Sep-13,Alabama,777.929
45,Oct-13,Alabama,1142.14
46,Nov-13,Alabama,3924.831
47,Dec-13,Alabama,6215.698
48,Jan-14,Alabama,10349.728
49,Feb-14,Alabama,6521.616
50,Mar-14,Alabama,4611.372
51,Apr-14,Alabama,2191.862
52,May-14,Alabama,1345.313
53,Jun-14,Alabama,804.067
54,Jul-14,Alabama,764.083
55,Aug-14,Alabama,748.234
56,Sep-14,Alabama,715.748
57,Oct-14,Alabama,1123.875
58,Nov-14,Alabama,4456.959
59,Dec-14,Alabama,5373.153
60,Jan-15,Alabama,8087.285
61,Feb-15,Alabama,8552.312
62,Mar-15,Alabama,3862.593
63,Apr-15,Alabama,1696.628
64,May-15,Alabama,1112.565
65,Jun-15,Alabama,765.486
66,Jul-15,Alabama,720.503
67,Aug-15,Alabama,706.289
68,Sep-15,Alabama,710.954
69,Oct-15,Alabama,957.301
70,Nov-15,Alabama,2082.012
71,Dec-15,Alabama,3496.339
72,Jan-16,Alabama,7194.528
73,Feb-16,Alabama,5515.505
74,Mar-16,Alabama,2755.037
75,Apr-16,Alabama,1645.192
76,May-16,Alabama,977.643
77,Jun-16,Alabama,832.624
78,Jul-16,Alabama,675.353
79,Aug-16,Alabama,645.756
80,Sep-16,Alabama,620.148
81,Oct-16,Alabama,874.952
82,Nov-16,Alabama,1789.856
83,Dec-16,Alabama,4880.296
84,Jan-17,Alabama,4845.474
85,Feb-17,Alabama,3228.236
86,Mar-17,Alabama,3177.486
87,Apr-17,Alabama,1361.601
88,May-17,Alabama,924.868
89,Jun-17,Alabama,713.354
90,Jul-17,Alabama,673.556
91,Aug-17,Alabama,650.6
92,Sep-17,Alabama,738.937
93,Oct-17,Alabama,1189.788
94,Nov-17,Alabama,2642.045
95,Dec-17,Alabama,6191.876
96,Jan-18,Alabama,9540.195
97,Feb-18,Alabama,3743.505
98,Mar-18,Alabama,3744.973
99,Apr-18,Alabama,2500.371
100,May-18,Alabama,1116.087
101,Jun-18,Alabama,724.99
102,Jul-18,Alabama,694.019
103,Aug-18,Alabama,701.103
104,Sep-18,Alabama,663.36
105,Oct-18,Alabama,1013.519
106,Nov-18,Alabama,4124.239
107,Dec-18,Alabama,6159.31
108,Jan-19,Alabama,7973.261
109,Feb-19,Alabama,3792.514
110,Mar-19,Alabama,3972.565
111,Apr-19,Alabama,1904.304
112,May-19,Alabama,1143.828
113,Jun-19,Alabama,852.702
114,Jul-19,Alabama,765.255
115,Aug-19,Alabama,655.762
116,Sep-19,Alabama,705.256
117,Oct-19,Alabama,980.221
118,Nov-19,Alabama,2825.357
119,Dec-19,Alabama,5044.499
120,Jan-20,Alabama,5623.664
121,Feb-20,Alabama,5258.908
122,Mar-20,Alabama,2607.268
123,Apr-20,Alabama,1639.77
124,May-20,Alabama,1203.885
125,Jun-20,Alabama,816.843
126,Jul-20,Alabama,713.392
127,Aug-20,Alabama,687
128,Sep-20,Alabama,794.467
129,Oct-20,Alabama,1097.242
130,Nov-20,Alabama,2504.979
131,Dec-20,Alabama,4771.408
132,Jan-10,Alaska,2730.32
133,Feb-10,Alaska,2053.692
134,Mar-10,Alaska,2121.359
135,Apr-10,Alaska,1573.832
136,May-10,Alaska,945.974
137,Jun-10,Alaska,666.846
138,Jul-10,Alaska,630.004
139,Aug-10,Alaska,607.481
140,Sep-10,Alaska,770.639
141,Oct-10,Alaska,1529.489
142,Nov-10,Alaska,2018.966
143,Dec-10,Alaska,3065.42
144,Jan-11,Alaska,2862.042
145,Feb-11,Alaska,2755.124
146,Mar-11,Alaska,2287.042
147,Apr-11,Alaska,1592.741
148,May-11,Alaska,990.011
149,Jun-11,Alaska,712.444
150,Jul-11,Alaska,580.141
151,Aug-11,Alaska,650.465
152,Sep-11,Alaska,948.184
153,Oct-11,Alaska,1580.799
154,Nov-11,Alaska,2851.41
155,Dec-11,Alaska,2451.365
156,Jan-12,Alaska,3602.78
157,Feb-12,Alaska,2333.843
158,Mar-12,Alaska,2332.713
159,Apr-12,Alaska,1467.4
160,May-12,Alaska,1055.88
161,Jun-12,Alaska,698.883
162,Jul-12,Alaska,633.961
163,Aug-12,Alaska,557.865
164,Sep-12,Alaska,1093.22
165,Oct-12,Alaska,1730.362
166,Nov-12,Alaska,2743.25
167,Dec-12,Alaska,3129.463
168,Jan-13,Alaska,2526.115
169,Feb-13,Alaska,2129.808
170,Mar-13,Alaska,2304.085
171,Apr-13,Alaska,1889.112
172,May-13,Alaska,1114.5
173,Jun-13,Alaska,584.97
174,Jul-13,Alaska,496.574
175,Aug-13,Alaska,589.631
176,Sep-13,Alaska,987.326
177,Oct-13,Alaska,1314.178
178,Nov-13,Alaska,2419.578
179,Dec-13,Alaska,2859.064
