Date,Alabama Natural Gas Residential Consumption (MMcf),Alaska Natural Gas Residential Consumption (MMcf),Arizona Natural Gas Residential Consumption (MMcf),Arkansas Natural Gas Residential Consumption (MMcf),California Natural Gas Residential Consumption (MMcf),Colorado Natural Gas Residential Consumption (MMcf),Connecticut Natural Gas Residential Consumption (MMcf),Delaware Natural Gas Residential Consumption (MMcf),District of Columbia Natural Gas Residential Consumption (MMcf),Florida Natural Gas Residential Consumption (MMcf),Georgia Natural Gas Residential Consumption (MMcf),Hawaii Natural Gas Residential Consumption (MMcf),Idaho Natural Gas Residential Consumption (MMcf),Illinois Natural Gas Residential Consumption (MMcf),Indiana Natural Gas Residential Consumption (MMcf),Iowa Natural Gas Residential Consumption (MMcf),Kansas Natural Gas Residential Consumption (MMcf),Kentucky Natural Gas Residential Consumption (MMcf),Louisiana Natural Gas Residential Consumption (MMcf),Maine Natural Gas Residential Consumption (MMcf),Maryland Natural Gas Residential Consumption (MMcf),Massachusetts Natural Gas Residential Consumption (MMcf),Michigan Natural Gas Residential Consumption (MMcf),Minnesota Natural Gas Residential Consumption (MMcf),Mississippi Natural Gas Residential Consumption (MMcf),Missouri Natural Gas Residential Consumption (MMcf),Montana Natural Gas Residential Consumption (MMcf),Nebraska Natural Gas Residential Consumption (MMcf),Nevada Natural Gas Residential Consumption (MMcf),New Hampshire Natural Gas Residential Consumption (MMcf),New Jersey Natural Gas Residential Consumption (MMcf),New Mexico Natural Gas Residential Consumption (MMcf),New York Natural Gas Residential Consumption (MMcf),North Carolina Natural Gas Residential Consumption (MMcf),North Dakota Natural Gas Residential Consumption (MMcf),Ohio Natural Gas Residential Consumption (MMcf),Oklahoma Natural Gas Residential Consumption (MMcf),Oregon Natural Gas Residential Consumption (MMcf),Pennsylvania Natural Gas Residential Consumption (MMcf),Rhode Island Natural Gas Residential Consumption (MMcf),South Carolina Natural Gas Residential Consumption (MMcf),South Dakota Natural Gas Residential Consumption (MMcf),Tennessee Natural Gas Residential Consumption (MMcf),Texas Natural Gas Residential Consumption (MMcf),Utah Natural Gas Residential Consumption (MMcf),Vermont Natural Gas Residential Consumption (MMcf),Virginia Natural Gas Residential Consumption (MMcf),Washington Natural Gas Residential Consumption (MMcf),West Virginia Natural Gas Residential Consumption (MMcf),Wisconsin Natural Gas Residential Consumption (MMcf),Wyoming Natural Gas Residential Consumption (MMcf),U.S. Natural Gas Residential Consumption (MMcf)
Jan-2010,9202.647,2730.32,7444.12,8272.083,70665.688,22720.141,8704.705,2196.748,2820.742,3116.607,29535.176,52.113,3788.355,83080.48,30876.93,15287.812,15725.64,11917.18,9629.402,219.126,17375.305,23140.634,57796.647,25820.463,5982.718,24105.426,3509.508,7871.82,7471.025,1305.066,43536.264,6701.55,71231.888,17239.094,2026.853,57269.818,16231.865,6654.442,43694.19,3138.183,7527.78,2612.436,16696.546,49861.664,11934.467,538.325,18930.111,11017.879,5549.2,25508.426,2339.629,932605.237
Feb-2010,7762.261,2053.692,6015.08,7327.315,58616.387,20633.201,7502.417,1942.137,2506.819,2589.572,24966.711,43.263,2964.66,68555.098,24541.798,11922.937,12444.91,10999.395,8149.634,186.125,14765.03,18680.652,49275.515,19729.668,5426.323,20194.083,2984.226,6848.318,5926.112,1033.387,37452.719,6296.852,64645.179,14707.783,1717.64,51953.213,13333.637,4893.067,39422.585,2824.369,6116.157,2119.262,14701.146,47290.422,8322.461,493.914,16980.703,8686.413,5003.355,19477.007,1753.994,794778.604
Mar-2010,6612.051,2121.359,5163.841,6265.884,52023.784,15525.946,5377.233,1308.843,1350.411,2780.699,16304.052,44.329,2631.688,53392.116,14592.412,8287.753,9662.869,6277.915,6964.981,144.161,8894.365,14524.708,36603.009,12766.509,4148.23,14366.601,2246.423,6392.173,4740.982,780.479,22975.162,5031.753,47703.062,7594.953,1184.946,34032.982,10556.222,4231.931,27737.193,1898.763,3938.784,1499.412,11128.224,34693.016,7635.839,357.05,9139.15,7948.422,2971.193,13192.928,1496.591,579243.382
Apr-2010,2987.217,1573.832,3034.312,2748.812,44708.279,10822.949,3131.213,584.778,541.781,1718.782,5574.7,49.669,2047.829,26704.606,6144.163,3515.738,4309.732,1847.64,2748.466,106.822,3761.271,8651.195,24548.167,5983.833,1353.176,5612.586,1753.579,3156.577,3254.79,464.163,11016.998,3400.031,26907.179,1937.137,563.971,15355.542,5125.317,3946.417,13189.811,856.695,1148.749,820.592,4021.999,14367.466,6559.894,270.067,3513.805,6867.62,1496.353,7185.206,1179.765,313171.271
May-2010,1142.784,945.974,1971.513,1032.514,33082.31,6961.674,2012.532,348.266,322.854,1131.116,4039.081,41.987,1400.707,15227.102,4395.457,2607.476,1982.913,1042.13,1462.871,62.048,2493.311,5520.413,13502.718,4939.486,657.057,3027.312,1335.555,1482.981,2285.911,299.453,8093.291,1817.709,17562.876,1252.486,446.707,9542.24,2211.116,2801.342,8275.764,633.284,533.072,628.359,1467.956,7534.282,4119.205,155.289,2130.256,4973.791,807.272,4861.215,908.186,197513.204
Jun-2010,841.734,666.846,1418.276,775.449,26822.094,3152.398,1185.16,228.022,262.345,769.446,3315.785,41.634,818.726,9805.444,2659.452,1410.91,1515.988,895.991,1329.866,35.27,1765.518,3973.658,7890.075,3059.328,638.763,2261.482,814.302,1041.075,1690.382,199.231,5261.544,1081.124,10723.369,941.737,217.078,5804.681,1485.882,1936.784,4803.422,416.565,487.207,260.036,1205.801,6111.831,2669.569,95.294,1769.145,3387.674,398.656,3202.574,493.554,134038.177
Jul-2010,732.868,630.004,1121.36,638.13,23450.441,2842.399,986.749,194.786,238.65,699.332,3221.433,43.395,439.475,7803.439,2412.225,1198.653,1149.745,844.881,1213.195,27.206,1648.808,3338.595,5928.913,2369.361,584.134,1638.405,466.073,740.876,1247.686,158.986,4509.838,836.761,8767.131,883.363,172.087,5218.45,1196.921,1144.163,3976.551,331.511,481.017,210.093,1036.427,5872.201,1749.077,72.738,1590.915,2179.688,350.171,2429.324,287.908,111306.538
Aug-2010,708.376,607.481,1032.928,624.65,22084.666,3081.156,1003.955,192.265,224.095,668.684,3271.509,41.225,419.549,7625.841,2494.447,1106.567,1008.962,840.437,1151.782,27.726,1363.01,4340.726,5356.578,2486.196,542.233,1622.092,365.354,704.965,1101.925,180.029,4790.487,816.608,8236.47,903.659,199.019,4787.921,1061.325,934.024,3989.085,467.495,424.269,195.561,956.03,5210.659,1468.72,63.968,1274.443,1926.857,387.333,2471.816,228.408,107073.566
Sep-2010,658.399,770.639,1115.535,643.836,22790.121,3241.615,951.384,179.953,243.78,675.111,3382.601,35.299,692.231,9040.885,2426.92,1285.202,1025.625,883.93,1213.555,31.429,1789.09,3935.254,6567.463,3089.654,579.717,1732.675,567.85,640.657,1227.143,152.652,4639.127,827.928,9952.283,1010.703,284.197,5838.046,1122.222,955.215,4602.628,395.852,498.012,273.583,1043.415,5365.025,1609.715,69.346,1671.055,2006.195,435.63,2833.309,295.452,117299.143
Oct-2010,839.259,1529.489,1376.502,913.79,27880.21,6978.051,1698.533,295.93,629.426,830.034,4947.032,37.171,1299.731,16144.061,5133.208,2213.339,1548.086,1858.037,1421.577,63.61,3245.076,7298.518,13581.903,5713.901,774.318,3041.794,1037.539,1056.463,1524.041,338.295,9362.513,1051.986,17571.119,1872.944,539.265,13256.517,1389.511,2073.282,9909.598,834.703,751.957,516.417,1741.632,6760.478,2998.983,172.589,3194.396,4898.319,1238.577,5597.28,599.305,201580.295
