Alabama,, Average Temperature,
Units: Degrees Fahrenheit,,,
Base Period: 2010-2020,,,
Missing: -99,,,
Date,,Value,Anomaly
200001,Alabama,46.5,1.6
200002,Alabama,52.3,2.5
200003,Alabama,58.9,2.7
200004,Alabama,60.1,-3.8
200005,Alabama,74,2.4
200006,Alabama,77.6,-1
200007,Alabama,81.9,1.2
200008,Alabama,81,1
200009,Alabama,73.9,-2
200010,Alabama,64.6,-0.6
200011,Alabama,52.8,-0.7
200012,Alabama,39.2,-10.1
200101,Alabama,41.2,-3.7
200102,Alabama,52.6,2.8
200103,Alabama,51.4,-4.8
200104,Alabama,64.7,0.8
200105,Alabama,70.6,-1
200106,Alabama,75.8,-2.8
200107,Alabama,79.7,-1
200108,Alabama,78.5,-1.5
200109,Alabama,71.9,-4
200110,Alabama,60.6,-4.6
200111,Alabama,58.8,5.3
200112,Alabama,50.6,1.3
200201,Alabama,46.8,1.9
200202,Alabama,46,-3.8
200203,Alabama,55,-1.2
200204,Alabama,66.4,2.5
200205,Alabama,70.2,-1.4
200206,Alabama,77.2,-1.4
200207,Alabama,80.3,-0.4
200208,Alabama,79.7,-0.3
200209,Alabama,77.3,1.4
200210,Alabama,67.8,2.6
200211,Alabama,51,-2.5
200212,Alabama,45.2,-4.1
200301,Alabama,40,-4.9
200302,Alabama,48,-1.8
200303,Alabama,57.6,1.4
200304,Alabama,63.3,-0.6
200305,Alabama,71.6,0
200306,Alabama,75.6,-3
200307,Alabama,78.5,-2.2
200308,Alabama,79.4,-0.6
200309,Alabama,73.1,-2.8
200310,Alabama,63.5,-1.7
200311,Alabama,58.2,4.7
200312,Alabama,44,-5.3
200401,Alabama,44.2,-0.7
200402,Alabama,45.4,-4.4
200403,Alabama,59,2.8
200404,Alabama,61.2,-2.7
200405,Alabama,72.7,1.1
200406,Alabama,76.8,-1.8
200407,Alabama,79.2,-1.5
200408,Alabama,76.3,-3.7
200409,Alabama,73.8,-2.1
200410,Alabama,68.5,3.3
200411,Alabama,57.8,4.3
200412,Alabama,45.1,-4.2
200501,Alabama,49.2,4.3
200502,Alabama,51.2,1.4
200503,Alabama,53.5,-2.7
200504,Alabama,61,-2.9
200505,Alabama,68.3,-3.3
200506,Alabama,76.7,-1.9
200507,Alabama,80.4,-0.3
200508,Alabama,80.5,0.5
200509,Alabama,76.9,1
200510,Alabama,63.8,-1.4
200511,Alabama,55.8,2.3
200512,Alabama,43.4,-5.9
200601,Alabama,51.1,6.2
200602,Alabama,46.1,-3.7
200603,Alabama,56.1,-0.1
200604,Alabama,67.5,3.6
200605,Alabama,70.4,-1.2
200606,Alabama,78.1,-0.5
200607,Alabama,81.9,1.2
200608,Alabama,82.3,2.3
200609,Alabama,72.8,-3.1
200610,Alabama,61.9,-3.3
200611,Alabama,52.8,-0.7
200612,Alabama,49.4,0.1
200701,Alabama,46.7,1.8
200702,Alabama,44.8,-5
200703,Alabama,60,3.8
200704,Alabama,60,-3.9
200705,Alabama,71.2,-0.4
200706,Alabama,78.8,0.2
200707,Alabama,79.2,-1.5
200708,Alabama,84.4,4.4
200709,Alabama,76,0.1
200710,Alabama,66.5,1.3
200711,Alabama,53.6,0.1
200712,Alabama,51.6,2.3
200801,Alabama,43,-1.9
200802,Alabama,49.2,-0.6
200803,Alabama,55.2,-1
200804,Alabama,62.8,-1.1
200805,Alabama,70.3,-1.3
200806,Alabama,78.7,0.1
200807,Alabama,80,-0.7
200808,Alabama,78.4,-1.6
200809,Alabama,74.5,-1.4
200810,Alabama,62.2,-3
200811,Alabama,51,-2.5
200812,Alabama,49.7,0.4
200901,Alabama,45.3,0.4
200902,Alabama,48.2,-1.6
200903,Alabama,57.3,1.1
200904,Alabama,61.4,-2.5
200905,Alabama,71.2,-0.4
200906,Alabama,79.4,0.8
200907,Alabama,78.1,-2.6
200908,Alabama,78,-2
200909,Alabama,75,-0.9
200910,Alabama,62.8,-2.4
200911,Alabama,53.4,-0.1
200912,Alabama,44.8,-4.5
201001,Alabama,40,-4.9
201002,Alabama,40.6,-9.2
201003,Alabama,51.2,-5
201004,Alabama,64.2,0.3
201005,Alabama,73.3,1.7
201006,Alabama,80.9,2.3
201007,Alabama,82.6,1.9
201008,Alabama,83,3
201009,Alabama,76.9,1
201010,Alabama,64.3,-0.9
201011,Alabama,55.2,1.7
201012,Alabama,40.3,-9
201101,Alabama,41.1,-3.8
201102,Alabama,49.5,-0.3
201103,Alabama,57.8,1.6
201104,Alabama,65.7,1.8
201105,Alabama,69.9,-1.7
201106,Alabama,81.2,2.6
201107,Alabama,81.7,1
201108,Alabama,81.8,1.8
201109,Alabama,72.1,-3.8
201110,Alabama,60.6,-4.6
201111,Alabama,55.3,1.8
201112,Alabama,49.3,0
201201,Alabama,50.1,5.2
201202,Alabama,52.1,2.3
201203,Alabama,64.6,8.4
201204,Alabama,65,1.1
201205,Alabama,73.4,1.8
201206,Alabama,76.8,-1.8
201207,Alabama,81.6,0.9
201208,Alabama,78.1,-1.9
201209,Alabama,73,-2.9
201210,Alabama,62.2,-3
201211,Alabama,51.2,-2.3
201212,Alabama,50.9,1.6
201301,Alabama,50,5.1
201302,Alabama,48,-1.8
201303,Alabama,49.8,-6.4
201304,Alabama,62.2,-1.7
201305,Alabama,68.2,-3.4
201306,Alabama,78,-0.6
201307,Alabama,77.7,-3
201308,Alabama,77.9,-2.1
201309,Alabama,75,-0.9
